{1 	6,63490 	5,02389 	3,84146 	2,70554 	1,32330 	0,45494 	0,10153 	0,01579 	0,00393 	0,00098 	0,00016 	0,00004},
{2 	9,21034 	7,37776 	5,99146 	4,60517 	2,77259 	1,38629 	0,57536 	0,21072 	0,10259 	0,05064 	0,02010 	0,01003},
{3 	11,34487 	9,34840 	7,81473 	6,25139 	4,10834 	2,36597 	1,21253 	0,58437 	0,35185 	0,21580 	0,11483 	0,07172},
{4 	13,27670 	11,14329 	9,48773 	7,77944 	5,38527 	3,35669 	1,92256 	1,06362 	0,71072 	0,48442 	0,29711 	0,20699},
{5 	15,08627 	12,83250 	11,07050 	9,23636 	6,62568 	4,35146 	2,67460 	1,61031 	1,14548 	0,83121 	0,55430 	0,41174},
{6 	16,81189 	14,44938 	12,59159 	10,64464 	7,84080 	5,34812 	3,45460 	2,20413 	1,63538 	1,23734 	0,87209 	0,67573},
{7 	18,47531 	16,01276 	14,06714 	12,01704 	9,03715 	6,34581 	4,25485 	2,83311 	2,16735 	1,68987 	1,23904 	0,98926},
{8 	20,09024 	17,53455 	15,50731 	13,36157 	10,21885 	7,34412 	5,07064 	3,48954 	2,73264 	2,17973 	1,64650 	1,34441},
{9 	21,66599 	19,02277 	16,91898 	14,68366 	11,38875 	8,34283 	5,89883 	4,16816 	3,32511 	2,70039 	2,08790 	1,73493},
{10 	23,20925 	20,48318 	18,30704 	15,98718 	12,54886 	9,34182 	6,73720 	4,86518 	3,94030 	3,24697 	2,55821 	2,15586},
{11 	24,72497 	21,92005 	19,67514 	17,27501 	13,70069 	10,34100 	7,58414 	5,57778 	4,57481 	3,81575 	3,05348 	2,60322},
{12 	26,21697 	23,33666 	21,02607 	18,54935 	14,84540 	11,34032 	8,43842 	6,30380 	5,22603 	4,40379 	3,57057 	3,07382},
{13 	27,68825 	24,73560 	22,36203 	19,81193 	15,98391 	12,33976 	9,29907 	7,04150 	5,89186 	5,00875 	4,10692 	3,56503},
{14 	29,14124 	26,11895 	23,68479 	21,06414 	17,11693 	13,33927 	10,16531 	7,78953 	6,57063 	5,62873 	4,66043 	4,07467},
{15 	30,57791 	27,48839 	24,99579 	22,30713 	18,24509 	14,33886 	11,03654 	8,54676 	7,26094 	6,26214 	5,22935 	4,60092},
{16 	31,99993 	28,84535 	26,29623 	23,54183 	19,36886 	15,33850 	11,91222 	9,31224 	7,96165 	6,90766 	5,81221 	5,14221},
{17 	33,40866 	30,19101 	27,58711 	24,76904 	20,48868 	16,33818 	12,79193 	10,08519 	8,67176 	7,56419 	6,40776 	5,69722},
{18 	34,80531 	31,52638 	28,86930 	25,98942 	21,60489 	17,33790 	13,67529 	10,86494 	9,39046 	8,23075 	7,01491 	6,26480},
{19 	36,19087 	32,85233 	30,14353 	27,20357 	22,71781 	18,33765 	14,56200 	11,65091 	10,11701 	8,90652 	7,63273 	6,84397},
{20 	37,56623 	34,16961 	31,41043 	28,41198 	23,82769 	19,33743 	15,45177 	12,44261 	10,85081 	9,59078 	8,26040 	7,43384},
{21 	38,93217 	35,47888 	32,67057 	29,61509 	24,93478 	20,33723 	16,34438 	13,23960 	11,59131 	10,28290 	8,89720 	8,03365},
{22 	40,28936 	36,78071 	33,92444 	30,81328 	26,03927 	21,33705 	17,23962 	14,04149 	12,33801 	10,98232 	9,54249 	8,64272},
{23 	41,63840 	38,07563 	35,17246 	32,00690 	27,14134 	22,33688 	18,13730 	14,84796 	13,09051 	11,68855 	10,19572 	9,26042},
{24 	42,97982 	39,36408 	36,41503 	33,19624 	28,24115 	23,33673 	19,03725 	15,65868 	13,84843 	12,40115 	10,85636 	9,88623},
{25 	44,31410 	40,64647 	37,65248 	34,38159 	29,33885 	24,33659 	19,93934 	16,47341 	14,61141 	13,11972 	11,52398 	10,51965},
{26 	45,64168 	41,92317 	38,88514 	35,56317 	30,43457 	25,33646 	20,84343 	17,29189 	15,37916 	13,84391 	12,19815 	11,16024},
{27 	46,96294 	43,19451 	40,11327 	36,74122 	31,52841 	26,33634 	21,74941 	18,11390 	16,15140 	14,57338 	12,87850 	11,80759},
{28 	48,27824 	44,46079 	41,33714 	37,91592 	32,62049 	27,33623 	22,65716 	18,93924 	16,92788 	15,30786 	13,56471 	12,46134},
{29 	49,58788 	45,72229 	42,55697 	39,08747 	33,71091 	28,33613 	23,56659 	19,76774 	17,70837 	16,04707 	14,25645 	13,12115},
{30 	50,89218 	46,97924 	43,77297 	40,25602 	34,79974 	29,33603 	24,47761 	20,59923 	18,49266 	16,79077 	14,95346 	13,78672},
